Airline,Rating,Reviewer Name,Date,Seat Type,Review Text
Singapore Airlines,8-Oct,Ariline Expert,"30 March,",,"The BEST! Ohhhhhh YES! The BEST among the few BEST; EVER! ?EXCEPTIONAL! 'A' Grade across the board. âœ…
Thank you Singapore Airlines for excellence!?"
Singapore Airlines,10-Oct,ar,"06 July,",,"Still the best of the best. Great food, in-flight entertainment, cabin crew and comfort."
Singapore Airlines,9-Oct,ar,"16 January,",,Good!
Singapore Airlines,7-Oct,ar,"05 July,",,"Travelled London to Singapore on a 380. SIA have a very different view of PE to other airlines. Note their use of 'privilege' and 'priority' in their advertising. PE is simply the front of economy with a flimsy partition between them. They offer a good seat with good features including an exceptional screen and headphones.  Drinks and all other service is with economy; its just you get served first. I have noticed a distinct deterioration in SIA food over the last decade or so, and this flight was no exception. A privilege is to book a special meal. Good idea because the in-flight offerings were not much. However, while plentiful the food was bland and not that well prepared. Wine was served in the smallest glasses I have ever seen on any airline. It was a tasting at best. Further, there was no choice - other than red or white - and the quality was modest. For some reason, the coffee/tea cups were also small. SIA charge plenty for PE, but did not deliver that much. Overall, based on this trip I think Cathay and BA are better value for money and Qantas offers a far better service for about the same cost.  I might take SIA again, but only if I could find no other option."
Singapore Airlines,6-Oct,ar,"14 April,",,"Bed was reasonably comfortable. Food was awful. Mocha/coffee was dreadful. Cabin crew were attentive. Pilots were great, very vocal and could be easily understood. Flight was mostly smooth and comfortable. Bathroom was kept clean. Pleasant flight but food needs an improvement. "
Singapore Airlines,10-Oct,,"12 February,",,"We really love travelling on Singapore Airlines . The staff were excellent , especially Helena, Cai, Philip and Manhas. They were so helpful and friendly. The food was delicious and the drinks great. The seats were comfortable and roomy for economy. Singapore airport is one of our favorite airports in the world, love the orchids and the butterfly enclosure, a very beautiful airport."
Singapore Airlines,10-Oct,ar,"12 August,",,Perth to Tokyo and Osaka to Perth via Singapore.  Had not flown Singapore Airlines for many years and was very impressed.  Nice touch to have a choice of Japanese Meal from Osaka to Singapore.
Singapore Airlines,4-Oct,ar,"14 September,",,I wasnt expecting this from an airline with whom i travelled the most. Flew premium economy class and to my surpirise wasnt even close to what they advertised. Seriously not happy would never recommend
Singapore Airlines,7-Oct,ar,"06 October,",,"Perth Singapore London return. A passenger was using an IPad while aircraft was taxiing so I alerted a cabin staff member who told me it was no longer required not to use electronic equipment during take off and Landing. I pointed out that the fasten seatbelt sign also alerted passengers not to use such equipment. I also took a look at the Safety Information card which also stated the equipment should not be used. I also noted that during the serving of meals the cabin staff did not request that seats be returned to their upright position to enable the passenger behind to be able to comfortably eat their meal. The entertainment system was stop go indicating that the server could not deliver the video without stopping to catch up constantly. The pillow provided had a nasty stain on it and finally, the underside of the toilet seat was covered in long term grime, very unpleasant. Look forward to your response.

EDITORS COMMENT:  Electronic devices can be used in flight mode on many aircraft now. The rules for this will vary between airlines and indeed aircraft but definitely it is ok on Singapore Airlines - provided it is in flight mode.  It is nice when the cabin crew ask passengers to put their seats up at meal times and generally the airline do do that. The airline needs to upgrade the entertainment on some older aircraft definitely and as for the toilet  - you can't really control what other passengers have left behind on a long haul flight. "
Singapore Airlines,9-Oct,ar,"02 March,",,"Travelled on a round trip  from Singapore to LA  From take off to touch down,  experience was generally good. However,  am impress with the efficient service I received from  FA Judy, During my return flight  on  SQ 11 from LA to Sin on 20/2 /17, I was supposed to receive products bought at DFS, LAX at the boading gate but  for some reason  the same never reach me as promised. I seek assistance from the crew,  and was attended by Ms Judy who was so professional and helpful  assuring me that she had sent an email to DFS to find a solution to my problem. Judy was so efficient and helpful throughout the handling of the case and  was able ot provide a personal touch and exude warmth and understanding as well as  communicating updates regularly to me until the aircraft made a layover at Narita,Tokyo. At Narita, I was approached by the ground staff  Yuri who continue to update me with the latest status and she too exercise  patient and responsive to my request.
Kudos Singapore Airline, for having a great team who are committed to excellent customer service and one that makes customer feel respected and valued. Judy and Yuri""s dedication to a client's problem is commendable."
