iter	MultiClass
0	1.551510333
1	1.374222691
2	1.229024033
3	1.116870525
4	1.027662411
5	0.9528393217
6	0.8914706536
7	0.8342733097
8	0.7859437336
9	0.7438003516
10	0.7110623049
11	0.6751334132
12	0.6456302811
13	0.6200164545
14	0.600041184
15	0.5800949572
16	0.5603797408
17	0.5431889998
18	0.5283073281
19	0.5143284628
20	0.5002107781
21	0.4889169092
22	0.4759229162
23	0.4657642444
24	0.4544406283
25	0.4445527445
26	0.4350534014
27	0.4284186352
28	0.4210031955
29	0.4159010154
30	0.4089252506
31	0.400975954
32	0.394600534
33	0.3886704982
34	0.3841036493
35	0.379941325
36	0.3761886845
37	0.3711450072
38	0.3676533492
39	0.3635728594
40	0.3590549545
41	0.3561697186
42	0.3536149223
43	0.3506129967
44	0.3473301746
45	0.3438166111
46	0.3402995865
47	0.3375912013
48	0.3358432949
49	0.3346818413
50	0.3324304127
51	0.3306850069
52	0.328920184
53	0.3277647512
54	0.3256024924
55	0.3232583237
56	0.3209309352
57	0.3184770518
58	0.3164368515
59	0.3145532142
60	0.3133444616
61	0.3125426521
62	0.3105281155
63	0.3095617943
64	0.3092737561
65	0.3085947675
66	0.3056134064
67	0.304865037
68	0.3035278327
69	0.3027984596
70	0.3024406718
71	0.3013402428
72	0.3005970589
73	0.2986541516
74	0.2983201711
75	0.2979370519
76	0.2974443312
77	0.2968542029
78	0.2953548366
79	0.2952923596
80	0.2943155637
81	0.293380215
82	0.2931552246
83	0.2925921003
84	0.2920256223
85	0.2906049818
86	0.2899465124
87	0.2892665322
88	0.2891462393
89	0.2874187015
90	0.2871291607
91	0.2860950286
92	0.2858382341
93	0.2854787051
94	0.2845036325
95	0.2833854909
96	0.2827638735
97	0.2822517614
98	0.2813928952
99	0.2813583844
100	0.2804157338
101	0.2799392187
102	0.2789483251
103	0.2783664694
104	0.2780218927
105	0.2764870141
106	0.274548049
107	0.2736154897
108	0.272084785
109	0.2707932006
110	0.2707397927
111	0.270538779
112	0.2694850119
113	0.2692587011
114	0.2689883667
115	0.2686287963
116	0.267632573
117	0.266921606
118	0.2664628103
119	0.2663655872
120	0.2658727969
121	0.26581541
122	0.2653475292
123	0.2646818651
124	0.2634566494
125	0.2633900034
126	0.263339443
127	0.2629439703
128	0.2623552558
129	0.2623184556
130	0.2622101357
131	0.2618642885
132	0.2605591859
133	0.2604431681
134	0.2599745188
135	0.2588356679
136	0.2582655112
137	0.2579970716
138	0.2570485433
139	0.2563778279
140	0.2560934747
141	0.2550676082
142	0.2549930365
143	0.254727248
144	0.2541088964
145	0.2537854864
146	0.253725437
147	0.2536426403
148	0.2526124282
149	0.252177015
150	0.2518731885
151	0.2515850014
152	0.2514975335
153	0.2514515455
154	0.251187577
155	0.2511606164
156	0.2508454225
157	0.2504748157
158	0.2497544414
159	0.2497085565
160	0.2496099166
161	0.2495778101
162	0.2493659734
163	0.2493338651
164	0.2492637866
165	0.2490322632
166	0.2486543697
167	0.2484607639
168	0.2483447735
169	0.2478040655
170	0.2474127625
171	0.246946786
172	0.2467440069
173	0.2467108355
174	0.2464333194
175	0.2461248899
176	0.2460656883
177	0.2456880935
178	0.2451537841
179	0.2448842626
180	0.2448503393
181	0.2448216778
182	0.2438318809
183	0.2437858262
184	0.243538557
185	0.2431450894
186	0.2430763845
187	0.2428418383
188	0.24243809
189	0.2423904621
190	0.2423275106
191	0.2422992527
192	0.2420388058
193	0.2417020194
194	0.2416191694
195	0.2411080108
196	0.2410133267
197	0.2403711461
198	0.23992197
199	0.2392007819
200	0.2388724468
201	0.2386168022
202	0.2385833704
203	0.2381608776
204	0.2379273596
205	0.2376732714
206	0.2375805085
207	0.2375119713
208	0.2373828995
209	0.2371492705
210	0.2366776139
211	0.2365744349
212	0.2365381461
213	0.2364142392
214	0.2363864589
215	0.236116464
216	0.2360829072
217	0.2360543071
218	0.2355563378
219	0.235518749
220	0.2351018642
221	0.2350759919
222	0.2347087814
223	0.2345053866
224	0.2343360787
225	0.2343040446
226	0.2334742551
227	0.2330308995
228	0.2322224745
229	0.2320175998
230	0.2316650163
231	0.2316267895
232	0.2315781747
233	0.2310650862
234	0.2307119936
235	0.2306797979
236	0.2302734361
237	0.2296735671
238	0.2296354553
239	0.2296030742
240	0.2294110817
241	0.2293853093
242	0.2291182545
243	0.2288521321
244	0.2288246209
245	0.2286069515
246	0.2283476074
247	0.228170245
248	0.2280220761
249	0.2279919723
250	0.2278032799
251	0.2277628845
252	0.2276867623
253	0.2270558946
254	0.2269843605
255	0.2268373642
256	0.2268096838
257	0.2261097838
258	0.2257433336
259	0.2255229936
260	0.2254929281
261	0.2250595195
262	0.2250264242
263	0.2249917981
