iter	Passed	Remaining
0	129	128947
1	175	87513
2	224	74460
3	268	66848
4	322	64172
5	373	61882
6	421	59805
7	472	58562
8	532	58587
9	588	58274
10	642	57803
11	721	59414
12	772	58688
13	821	57868
14	867	56943
15	912	56099
16	956	55329
17	1006	54913
18	1054	54435
19	1104	54144
20	1181	55097
21	1225	54495
22	1272	54072
23	1318	53599
24	1383	53939
25	1427	53483
26	1473	53106
27	1520	52795
28	1562	52331
29	1603	51839
30	1643	51363
31	1687	51042
32	1732	50774
33	1783	50674
34	1827	50390
35	1868	50027
36	1906	49612
37	1946	49265
38	1986	48961
39	2027	48648
40	2064	48290
41	2102	47949
42	2143	47712
43	2178	47330
44	2212	46962
45	2251	46702
46	2301	46665
47	2348	46576
48	2385	46305
49	2427	46130
50	2466	45900
51	2504	45653
52	2550	45571
53	2588	45344
54	2629	45179
55	2669	45000
56	2710	44840
57	2750	44675
58	2790	44501
59	2829	44329
60	2867	44138
61	2906	43972
62	2954	43945
63	2990	43737
64	3025	43521
65	3061	43319
66	3123	43493
67	3176	43540
68	3224	43512
69	3258	43295
70	3298	43155
71	3340	43049
72	3377	42889
73	3411	42693
74	3445	42492
75	3478	42294
76	3515	42143
77	3553	42000
78	3594	41909
79	3634	41797
80	3673	41679
81	3710	41539
82	3747	41398
83	3788	41310
84	3823	41161
85	3863	41062
86	3907	41011
87	3943	40870
88	3978	40724
89	4024	40688
90	4059	40548
91	4099	40457
92	4133	40314
93	4169	40183
94	4207	40080
95	4249	40017
96	4289	39929
97	4341	39958
98	4382	39882
99	4422	39799
100	4460	39700
101	4499	39617
102	4540	39539
103	4582	39482
104	4629	39457
105	4671	39401
106	4711	39320
107	4749	39226
108	4793	39183
109	4857	39303
110	4920	39406
111	4956	39297
112	4994	39204
113	5030	39097
114	5065	38979
115	5100	38868
116	5155	38908
117	5191	38805
118	5228	38711
119	5263	38598
120	5298	38489
121	5332	38375
122	5369	38282
123	5404	38180
124	5441	38087
125	5478	38001
126	5510	37880
127	5543	37764
128	5579	37671
129	5611	37556
130	5645	37448
131	5680	37355
132	5723	37313
133	5759	37219
134	5795	37134
135	5832	37056
136	5868	36965
137	5901	36863
138	5940	36796
139	5976	36714
140	6010	36617
141	6045	36530
142	6083	36461
143	6119	36376
144	6155	36296
145	6189	36206
146	6222	36107
147	6254	36005
148	6290	35929
149	6326	35851
150	6361	35767
151	6397	35689
152	6433	35618
153	6478	35587
154	6527	35585
155	6577	35585
156	6641	35661
157	6684	35624
